Unnamed: 0,Norwegian,English
1545,en roman,novel 
1546,hit,"here, hither"
1547,å tørre,to dare 
1548,et egg,edge
1549,ro -a,"[the] quiet, tranquillity, silence "
1550,en generasjon,generation
1551,fjerde,fourth
1552,sannsynlig,"likely, probable "
1553,klassisk,"classic, classical"
1554,en innflytter,new occupant; immigrant
1555,en jøde,Jew
1556,medisinsk,"medical, medicinal"
1557,et demokrati,democracy
1558,å helle,to lean; pour
1559,en gjeng,"gang, work crew"
1560,en regi,"stage management, direction "
1561,fet,"fat, greasy"
1562,profesjonell,professional 
1563,et foredrag,"address, lecture, delivery"
1564,en motstand,"resistance, opposition"
1565,å forbedre,to improve
1566,seksuell,"sexual, sex "
1567,derifra,"from there, from that point; thence; as a result"
1568,å utvide,"to extend, expand, enlarge"
1569,ifra,"from, away, aside"
1570,frykt -en,"[the] apprehension, fear"
1571,en bonde,"farmer, peasant, feeholder; [archaic] husband, master"
1572,en ring,ring 
1573,sur,sour
1574,å beregne,"to calculate, figure; expect"
1576,en fart,"motion, speed"
1577,en bransje,"business, industry, trade"
1578,skriftlig,"in writing, written "
1579,et oppgjør,"showdown, confrontation, settlement, statement "
1580,å våkne,to wake
1581,et batteri,battery
1582,et arbeidsliv,life of hard work; economic life (of community or nation)
1583,å male,to paint; grind; purr
1584,en helt,hero
1585,hittil,"so far, up to now"
1586,en tendens,tendency
1587,et søk,"search, seek "
1588,å binde,"to tie, tie up, chain; bind"
1589,jaså,well; is that so
1590,te -en,[the] tea 
1591,riktignok,"certainly, to be sure, indeed "
1592,ei virkning,"effect, influence"
1593,tørr,dry 
1594,nøyaktig,"exact, accurate, precise "
1595,regional,regional 
1596,å passere,"to pass by, pass through, turn; pass"
1597,å gripe,"to catch, grab, grasp, affect, move"
1598,grundig,"exhaustive, thorough"
1599,å klikke,"to click, tap, tick"
1600,pluss,plus 
1601,et symptom,symptom
1602,ei gave,"gift, present"
1603,tillit -a,"[the] confidence, trust"
1604,å ake,to ride; slide
1605,programvare -a,[the] software 
1606,å ordne,to regulate 
1607,en hage,"garden, orchard"
1608,å avvise,"to refuse, turn away"
1609,dokumentasjon -en,"[the] documentation, substantiation"
1610,en figur,figure
1611,ei tilbakemelding,"feedback, response "
1612,et initiativ,"enterprise, initiative"
1613,å heve,"to lift, raise"
1614,å uttrykke,to express
1615,ei motsetning,"contrast, difference, antagonism "
1616,et bygg,"barley; building project, building under construction"
1617,en finale,"finale, finals (in sports)"
1618,et skip,"ship, boat, vessel "
1619,nedre,lower 
1620,å ane,"to suspect, have an (uneasy) feeling"
1621,å åpenbare,"to disclose, divulge; manifest, reveal"
1622,å synke,to sink 
1623,utenom,"outside, on the outside"
1624,en teknikk,"technique, technical skill"
1625,et offer,"victim; offering, sacrifice "
1626,demokratisk,democratic
1627,en kino,movie (theater)
1628,ei forhandling,"discuttion, negotiation, distribution"
1629,synlig,"visible, visual "
1630,ei anbefaling,"recommendation, reference"
1631,muslimsk,Islamitic 
1632,oppløsning -a,"[the] liquidation, dissolution "
1633,et bryst,chest; (woman's) breast
1634,å gjenta,"to reiterate, repeat"
1635,fornuftig,"rational, reasonable, sensible"
1636,en reklame,advertising 
1637,et seminar,seminar 
1638,en børs,stock exchange
1639,å kritisere,to criticize
1640,en aksjon,action
1641,en episode,"episode, incident"
1642,en meny,menu
1643,en likhet,"likeness, resemblance"
1644,å beklage,"to pity, (be) sorry (for); regret"
1645,artig,"amusing, funny; interesting"
1646,et riksmål,official national language; standard Norwegian
1647,å kle,"to clothe, dress"
1648,samtlige,"all, one and all, each and all "
1649,å danse,"to dance, prance"
1650,en sykkel,"cycle, bicycle"
1652,ei spenning,"excitement; stress, tension "
1653,å hive,"to heave, throw, toss"
1654,en låt,sound; ring; whimpering
1655,å forbeholde,"to reserve, stipulate"
1656,å svekke,to weaken
1657,å bla,"to turn pages, thumb through"
1658,en åpning,opening
1659,å formidle,"to arrange, mediate"
1660,å rydde,"to tidy, tidy up, clear up"
1661,nytte -a,"[the] use, usefulness, benefit, advantage "
1662,et våpen,weapon
1663,å vekke,to wake
1664,å opptre,"to perform, appear"
1665,å tolke,"to interpret, express "
1666,en avgjørelse,"decision, settlement"
1667,et hjørne,corner
1668,en bit,piece
1669,stygg,"bad, nasty, ugly"
1670,fersk,"fresh, new, recent"
1671,et gulv,floor
1672,ei forening,"combination, union, association"
1673,et tog,train
1674,ei sone,zone 
1675,rå,raw
1676,søren,dammit 
1677,et forlag,"(firm of) publishers, publishing house"
1678,en region,region 
1679,et drap,"homicide, manslaughter, murder"
1680,ei plikt,duty 
1681,uenig,in disagreement
1682,å stole,"to depend, rely, trust "
1683,å drømme,to dream
1684,real,"trustworthy, reliable, honest"
1685,gift,married
1686,en forbruker,consumer
1687,obligatorisk,"compulsory, obligatory "
1688,å telle,to count 
1689,en fyr,fire
1690,en pappa,"daddy, dad "
1691,en handel,"business, commerce, trade"
1692,en mobiltelefon,mobile (phone
1693,en kollega,colleague
1694,ei utgift,expense; disbursement 
1695,ei beslutning,"decision, resolution"
1696,et firma,firm
1697,en selger,"salesperson, seller, vendor"
1698,ei dagbok,diary
1699,venstre,left 
1700,diabetes -en,[the] diabetes 
1701,trafikk -en,[the] traffic
1702,en balkong,balcony
1703,å blåse,"to blow; puff, snort"
1704,å bake,to bake
1705,å sikte,"to aim, take aim; accuse"
1706,kjøtt -et,[the] meat
1707,et kjøkken,"kitchen, cuisine"
1708,nedenfor,below 
1709,en hovedsak,chief concern
1710,økologisk,ecological 
1711,å skru,to screw 
1712,en billett,"note, small letter; ticket"
1713,en traktor,tractor 
1714,en kilo,"kilogram (= 2,2 lbs)"
1715,å venne,"to wean, accustome"
1716,ei pakke,"package, pack"
1717,uheldig,"unfortunate, unlucky"
1718,antagelig,"acceptable, satisfactory"
1719,å banke,"to knock, beat; rap, tap"
1720,ordentlig,"proper, orderly "
1721,homofil,homosexual
1722,et verktøy,"tool, implement, equipment "
1723,en øvelse,"practice, exercise, training, experience "
1724,et regelverk,regulations 
1725,grov,"coarse, gruff, rough"
1726,å bite,"to bite; cut, have an effect"
1727,ei retningslinje,"guideline, instruction "
1728,et virkemiddel,"means, instrument"
1729,dels,partly
1730,å prate,"to chat, talk "
1731,et trekk,"feature, trait, draft, track"
1732,ei høne,"hen, chicken"
1733,ledig,"free, idle; lithe (of movements)"
1734,en karriere,run; career
1735,ei adresse,address
1736,et fellesskap,"joint activity, efforts"
1737,en fritidsaktivitet,"leisure activity, pastime "
1738,et papir,paper 
1739,et budskap,message
1740,en helhet,entirety
1741,opptil,"to, up to, near to "
1742,stabil,stable 
1743,en restaurant,restaurant 
1744,en statistikk,statistics 
1745,selvstendig,independent
1746,å gidde,"to bother to, take the troube to"
1747,ordinær,ordinary 
1748,å stråle,to be radiant
1749,å forby,"to ban, forbid"
1750,å stjele,to steal 
1751,omgivelser,surroundings; environment
1752,ei frukt,fruit
1753,ei forestilling,"performance, protest, conception"
1754,et bevis,"evidence, proof"
1755,skoletid -a,[the] school hours; school years 
1756,militær,military 
1757,original,original 
1758,å trives,"to thrive, flourish"
1759,et innspill,"input, suggestion, contribution, initiative "
1760,menneskelig,"human, humane"
1761,å pendle,"to oscillate, commute"
1762,en parkeringsplass,parking lot 
1763,henhold,"accordance, conformity"
1764,å berøre,"to touch, affect, involve"
1765,å risikere,to risk 
1766,en radio,"radio, wireless "
1767,å kontakte,to contact
1768,en deltakelse,"participation; concern, sympathy"
1769,etisk,ethical
1770,en rad,row; rad
1771,ei fraflytting,rural depopulation 
1772,en presentasjon,presentation 
1773,ei innføring,introduction
1774,underveis,on the way
1775,en partner,"partner, co-partner "
1776,å rope,"to call, shout"
1777,å utfordre,"to challenge, defy, dare "
1778,en etasje,"floor, story"
1779,et tilskudd,"contribution, subsidy"
1780,en kapasitet,capacity; expert
1781,sikt -a,[the] sight
1782,ei omsetning,"sales, trade, business, sale "
1783,en kø,"line, queue"
1784,en konkurrent,"competitor, rival"
1785,å konkludere,to conclude
1786,en moderator,moderator 
1787,å inspirere,to inspire
1788,noensinne,"ever, at any time "
1789,ei finanskrise,financial crisis 
1790,ei regle,"jingle, nonsense verse, rigmarole "
1791,tilfeldig,random
1792,midlertidig,"interim, provisional, temporary"
1793,vestlig,western
1794,ei strand,"beach, shore"
1795,et bud,"command, order, message, tidings"
1796,å knuse,"to crush, break, smash"
1797,å forsterke,"to reinforce, strengthen, heighten"
1798,et grep,"grab, move, step"
1799,å fastsette,"to decide on, fix, stipulate"
1800,et legemiddel,medicament
1802,å tilfredsstille,"to satisfy, content"
1803,forbruk -et,[the] consumption
1804,ærlig,"honest; frank, sincere; honorable"
1805,en studie,study 
1806,et opplegg,situation
1807,en gud,"god, God"
1808,et ekteskap,marriage
1809,sliten,"tired, weary"
1810,et potensial,potential 
1811,en hobby,hobby
1812,ei næring,"industry, trade "
1813,en trend,trend
1814,vellykket,successful 
1815,et vilkår,"condition, term, circumstances"
1816,en guttunge,"boy; [pop.] kid, lad"
1817,et omfang,scope; size; circumference 
1818,kreativ,creative 
1819,et format,size; format
1820,et beløp,amount of money
1821,en oljepris,oil price 
1822,å kåre,"to blow softly, ripple"
1823,ei fortelling,"narrative, story, tale, novel"
1824,en bensinstasjon,gas station
1825,ei ulykke,accident; misfortune
1826,læring -a,"[the] learning, gaining knowledge "
1827,en arbeidstaker,"employee, worker"
1828,myk,"sensitive, soft-hearted, pliable, flexible"
1829,smart,smart
1830,et barnevern,child welfare
1831,koselig,"comfortable, cozy"
1832,en stall,stable
1833,ei forandring,"change, alteration, modification"
1834,et mangfold,"diversity, variety, abundance "
1835,en tone,"note, sound, tone, pitch"
1836,en liter,liter (=1.057 qts.)
1837,en strid,"conflict, discord, strife"
1838,å regulere,to regulate
1839,ei fil,file
1840,en snøball,snowball 
1841,et fenomen,phenomenon
1842,en skolebuss,school bus 
1843,hvorvidt,"how far, to what extent; whether"
1844,langsiktig,long-term; long-range
1845,å godta,"to accept, approve, acknowledge"
1846,å ligne,"to  look like, resemble; compare"
1847,hemmelig,"secret, clandestine"
1848,å innse,"to realize, see"
1849,en kampanje,campaign
1850,et pass,passport; attention; (mountain) pass
1851,unik,unique 
1852,ei scene,scene 
1853,et overskudd,"profit, margin, surplus"
1854,nåværende,"present, prevailing, existing, current "
1855,russisk,Russian 
1856,å advare,to warn
1857,et lån,loan
1858,en datamaskin,computer 
1859,omsorg -a,[the] care 
1860,et medium,"[math.] mean, (spiritualistic) medium"
1861,et regnskap,accounts 
1862,et opphold,stay 
1863,kjekk,"bold, brave"
1864,skeptisk,sceptical
1865,et motiv,motive 
1866,skarp,sharp
1867,ei avgift,"fee; duty, tax; royalty"
1868,en vest,waistcoat; West
1869,å informere,"to advise, inform"
1870,et trinn,"step, stage"
1871,et årsmøte,annual meeting
1872,ei frøken,"unmarried woman, young lady"
1873,å betrakte,"to contemplate, look at, regard"
1874,ei fotballbane,soccer field
1875,et synspunkt,viewpoint
1876,ille,badly; ill
1877,et individ,"indivual, person"
1878,en dose,"dosage, dose"
1879,en leverandør,[merc.] supplier
1880,ei planlegging,"planning, organizing "
1881,pedagogisk,educational 
1882,en frist,deadline
1883,blank,"bright, clear, gloyy, shining, plain"
1884,mektig,powerful
1885,å lide,"to advance, pass; suffer"
1886,en voks,wax 
1887,ei stue,living room; cottage 
1888,ei øy,island 
1889,en vinterferie,winter vacation
1890,en nedgang,"decline, fall-off, drop, reduction"
1891,et overhode,head; chief 
1892,å investere,to invest [merc.]
1893,et tempo,"tempo, time, speed, rate"
1894,å gråte,"to cry, weep"
1895,å strekke,to stretch
1896,å utgi,"to publish, issue, edit"
1897,en speider,scout 
1898,et statsbudsjett,national budget 
1899,en bot,"fine; damages; amends, remedy; penance"
1900,juridisk,"juridical, legal"
1901,en vert,"host, landlord"
1902,ei oppfølging,follow-up 
1903,et fat,"dish, barrel, cask"
1904,faen,"the devil, Satan"
1905,en straff,punishment 
1906,å foretrekke,to prefer
1907,å signere,to sign 
1908,blodsukker -et,"[the] glucose, blood sugar "
1909,vegne,behalf; alle ~ = everywhere 
1910,sakte,slow 
1911,transport -en,[the] transport
1912,en divisjon,[math./mil.] division
1913,en mynt,coin 
1914,et overgrep,"encroachment, infringement "
1915,et tidsskrift,periodical 
1916,ei lue,cap
1917,ond,"bad, evil "
1918,å gli,"to glide, slide"
1919,storting -et,[the] (Norway's) parliament
1920,et forbud,"ban, embargo, prohibition"
1921,en valgkamp,electoral campaign 
1922,en eks,"(slang) ex, ex-spouse, ex-boyfriend, ex-girlfriend "
1923,ei vaksine,vaccine
1924,evig,"eternal, everlasting"
1925,ei oppskrift,"recipe, pattern "
1926,bestemt,"certain, definite, fixed"
1927,et vitne,witness 
1928,en kilometer,"kilometer (= 0,62 mile)"
1929,en bakke,hill; ground
1930,tilknytning -en,"[the] attachment, affiliation, connection "
1931,hovedsakelig,"chiefly, mainly"
1932,spent,"anxious, tense"
1933,stress -en,"[the] stress, strain "
1934,å håndtere,"to handle, manage"
1935,en menighet,"Church, congregation "
1936,en variant,variant 
1937,en gass,gas
1938,dødball -en,[the] (ballspill) dead ball 
1939,en hjerne,brain
1940,å stanse,"to stop, pause "
1941,en regissør,"director, stage director, film director "
1942,balanse -n,[the] scales; balance
1943,en fotograf,photographer
1944,dyktig,"able, capable, proficient, goodly, substantial"
1945,henholdsvis,respectively
1946,ei utbygging,"extension, addition, annexe"
1947,unødvendig,"unnecessary, needless"
1948,et ballspill,ball game 
1949,en bakgård,"rear court, service area"
1950,innsikt -en,[the] insight
1951,nyfødt,new-born 
1953,en medarbeider,co-worker; collaborator
1954,å senke,"to sink, let down, lower "
1955,et kosthold,"fare, meals"
1956,å grunne,"to mull over, muse, ponder"
1957,en støl,mountain dairy farm 
1958,naturligvis,"of course, naturally "
1959,å feste,"to attach, fasten"
1960,et opptak,"admission, entrance, intake "
1961,en rektor,headmaster
1962,ei gjennomføring,"accomplishment, execution"
1963,en realitet,reality 
1964,en arbeider,"laborer, workman, worker"
1965,ei tann,"tooth, prong, cog "
1966,flat,"flat, level, crestfallen"
1967,å tilsi,"to promise, summon"
1968,en kopi,copy
1969,en begrunnelse,"basis; grounds, justification"
1970,en nasjon,nation 
1971,å finansiere,to finance
1972,innflytelse -n,[the] influence
1973,ei pressemelding,press release
1974,våt,wet
1975,straks,"at once, immediately"
1976,en menneskerettighet,human rights
1977,en hær,"army; host, legion"
1978,en dans,"dance, dancing"
1979,en sans,sense
1980,et måltid,meal 
1981,kjempeflott,"excellent, very good "
1982,en guide,guide; guidebook
1983,et gram,gram (=0.035 oz.)
1984,en innsats,stake; contribution
1985,å kose,to make things cozy
1986,herifra,from here; from this
1987,ei blanding,"mixture, alloy"
1988,å stryke,to stroke 
1989,inni,"inside, within"
1990,definitiv,definitive
1991,å justere,"to adapt, adjust"
1992,å lytte,to listen
1993,ei søster,sister 
1994,øst,East 
1995,en prest,clergyman 
1996,et museum,museum 
1997,ei evaluering,evaluation
1998,en brus,"roar, rushing sound; echo"
1999,en lidelse,"agony, suffering"
2000,tvers,across; [naut.] abeam
2001,tvert,"crosswise, transversely, across "
2002,en PC ,"PC, personal computer "
2003,å konkurrere,to compete
2004,uvanlig,unusual
2005,en vinner,winner
2006,en ordfører,"mayor, chairman "
2007,således,"thus, so, in this manner"
2008,,"zero, nought "
2009,en lengde,length
2010,å orke,to be able to 
2011,info -en,"[the] info, information "
2012,et landbruk,agriculture
2013,elektrisk,electrical
2014,attraktiv,[pop.] attractive 
2015,kjapp,"fast, quick"
2016,en blogger,"blogger, blog author "
2017,en tentamen,mock exam
2018,å integrere,to integrate
2019,å takle,"to cope, tackle"
2020,en hals,"throat, neck"
2021,oppmerksom,"attentive, observant, considerate"
2022,å markere,"to indicate, mark"
2023,å vaske,to wash
2024,et kriterium,criterion
2025,å tvile,"to doubt, question "
2026,en kode,code; codex
2027,en tillatelse,"permission, permit"
2028,å kvitte,to whiten
2029,en operasjon,operation 
2030,ei flaske,"bottle, flask"
2031,nokså,"fairly, rather, tolerably "
2032,å oppfylle,to fulfil
2033,å sparke,to kick 
2034,fremmed,"aliean, foreign"
2035,en flyplass,"airfield, airport"
2036,en amerikaner,American (esp. From U.S.A.)
2037,nordover,northward
2038,en arena,arena
2039,å leie,"to guide, lead"
2040,brun,"brown, [pop.] drunk"
2041,et fakultet,"college, faculty"
2042,et brudd,"break, fracture, violation, crime"
2043,ei ledning,"cable, conduit"
2044,saklig,"factual, objective"
2045,å kødde,"to fuck (with), mess (with"
2046,en kapital,capital [merc.]
2047,et tonn,(metric) ton
2048,sivil,civil 
2049,forferdelig,"dreadful, horrible"
2050,en stamme,"stem, trunk"
2051,lykkelig,lucky; happy
2052,å late,to idle
2053,bygging -a,[the] building activity
2054,et senter,centre 
2055,å operere,to operate
2056,å irritere,"to annoy, irritate"
2057,å sykle,"to cycle, ride a bike "
2058,ei fortid,past
2059,en identitet,identity
2060,potensiell,potential 
2061,objektiv,"objective, lens "
2062,en barnefamilie,family with small children
2063,et dikt,"poem; poetry; invention, lie"
2064,et utbytte,"profit, proceeds, dividend, yield"
2065,melk -a,[the] milk 
2066,en ås,"hill, ridge; beam, roof beam"
2067,falsk,false
2068,et århundre,century
2069,å konsentrere,to concentrate
2070,fattigdom -men,[the] poverty
2071,et stopp,stop
2072,en kanal,"canal, channel"
2073,en muskel,muscle 
2074,ei venninne,[female] friend
2075,tilsynelatende,"seeming, apparent, apparently"
2076,å resultere,to result 
2077,biologisk,biological
2078,en treer,three 
2079,spansk,Spanish 
2080,moralsk,moral 
2081,sistnevnt,latter 
2082,å installere,to install
2083,en stav,"staff, stick, pole"
2084,et galleri,gallery
2085,skrekkelig,"horrible, shocking, ghastly "
2086,en usikkerhet,"insecurity, uncertainty"
2087,å observere,observe 
2088,et organ,organ
2089,forholdsvis,"proportionately, relatively"
2090,et bånd,"band, ribbon, stripe, leash"
2091,drøy,"economical, lasting; demanding, tough"
2092,å behøve,to need
2093,en rådgiver,adviser
2094,ei gjeld,debt
2095,sukker -et,[the] sugar 
2096,støy -en,"[the] (teleteknikk) noise, interference "
2097,finansiering -a,"[the] funding, financing "
2098,å øse,"to baste, bail, scoop, draw "
2099,en fase,phase
2100,å forme,"to form, shape"
2101,salt,salty
2102,en sjel,soul
2103,en revisor,"accountant, auditor"
2104,å svikte,"to fail, be absent, forsake "
2105,en laks,salmon
2106,ei utforming,"shape, design "
2107,mild,mild 
2108,å gjennomgå,"to experience, go through, suffer"
2109,formell,"formal, ostensible"
2110,en rekord,record 
2111,å smitte,"to infect, contaminate"
2112,en gjennomgang,passage
2113,ei forvaltning,"administration, management"
2114,å kartlegge,"to chart, map"
2115,gjennomsnittlig,"average, mean"
2116,systematisk,systematic
2117,etnisk,ethnic
2118,en henvendelse,"application, communication"
2119,et snitt,"cut, section, incision"
2120,å forekomme,"to happen, occure, take place; be found"
2121,strøm -men,"[the] stream, current "
2122,å montere,"to install, assemble "
2123,en baby,baby
2124,en turist,tourist 
2125,vant,"accustomed, used"
2126,ei nese,nose 
2127,en velger,"voter, elector"
2128,samsvar -et,"[the] accordance, agreement "
2129,et fjell,"mountain; bedrock, rock"
2130,en frokost,breakfast
2131,utsikt -en,"[the] outlook, view, vision "
2132,ei erstatning,compensation
2133,vinterstid,wintertime
2134,å fullføre,"to carry out, execute"
2136,et rot,"root, source, origin "
2137,et bur,"storehouse, storeroom, <farm building with sleeping rooms>"
2138,hellig,"hallowed, holy"
2139,å klippe,"to cut, clip"
2140,en blomst,"blossom, flower"
2141,realistisk,realistic 
2142,glimrende,brilliant
2143,lovlig,"lawful, legal, legitimate; valid"
2144,et avsnitt,"period; paragraph, section"
2145,ei styring,steering 
2146,sprek,"fit; active, vigorous "
2147,kommersiell,commercial
2148,å bevare,"to keep, preserve, save"
2149,offensiv,offensive 
2150,en søker,"applicant, petitioner"
2151,en bevissthet,consciousness
2152,rasisme -n,"[the] racism, racialism "
2154,en titt,"glimpse, peek(ing)"
2155,ei etablering,establishment 
2156,naken,naked
2157,idet,"as, just as, when"
2158,å rulle,to roll 
2159,en fan,devil
2160,lekker,delicious
2161,idrett -en,"[the] athletics, sports"
2162,å henvise,"to refer, submit, allude"
2163,et landskap,landscape
2164,ei ræv,"arse, bum "
2165,regn -et,"[the] rain, shower, hail"
2166,temmelig,"fairly, rather"
2167,et kutt,cut
2168,et kne,knee
2169,en verdenskrig,world war 
2170,primær,primary 
2171,å forebygge,"to prevent, avert"
2172,å spå,"to prophesy, predict "
2173,språkbruk -en/-et,[the] (language) usage 
2174,teoretisk,theoretical 
2175,å kikke,"to peek, peer"
2176,tilsyn -et,"[the] supervision, attention, inspection"
2177,overordnet,superior 
2178,en lekeplass,playground
2179,en fødsel,birth
2180,landlig,rural
2181,å angi,"to state, give information about"
2182,en sum,sum
2183,kjempestor,"giant-sized, huge"
2184,ivrig,"ardent, zealous, eager"
2185,en oppgang,"ascent, rise, stairway, improvement, upturn"
2186,en revolusjon,revolution 
2187,en røyk,"smoke, fume "
2189,internett,internet 
2190,en front,"front [meteor., mil.]"
2191,et fjorår,"last year, (litterært) yesteryear "
2192,forhåpentligvis,"I hope, let us hope that"
2193,en gevinst,"gain, profit"
2194,en sal,hall
2195,ei grend,"neighvorhood, group of farms"
2196,en vitenskap,science
2197,et drama,drama
2198,en frisør,"barber, haidresser"
2200,en struktur,structure 
2201,et foretak,undertaking
2202,super,super
2203,svineinfluensa -en,[the] swine flu 
2204,ei tunge,"tongue, language "
2205,administrativ,administrative
2206,ei avslutning,"conclusion, end, finish"
2207,skummel,"gloomy, dismal, sinister"
2208,et helvete,hell
2209,en garanti,"guarantee, warranty"
2210,kinesisk,Chinese
2211,et eventyr,adventure; fairytale
2212,en bygård,apartment house; [hist.] town house
2213,ei forsikring,"assurance, insurance"
2214,utvalgt,"chosen, selected "
2215,å loggføre,to log (sjøfart) 
2216,å begrunne,to state the reasons (for); base (on)
2217,en betingelse,"condition, term"
2218,en kjendis,"celebrity, public figure "
2219,å administrere,"to administer, manage"
2220,en motivasjon,motivation 
2221,inspirasjon -en,[the] inspiration
2222,ei vaskemaskin,washing machine 
2223,å tippe,"to bet, tip"
2224,å friste,"to tempt, coax"
2225,en formiddag,"forenoon, morning"
2226,et areal,area (of)
2227,ei påske,Easter 
2228,forkant -en,"[the] front edge, leading edge"
2229,en setning,"sentence, clause; thesis "
2230,en gjenstand,"object, thing, subject"
2231,slalåm -en,[the] slalom 
2232,å arrestere,"to arrest, detain; seize (person or goods)"
2233,ei skøytebane,ice rink 
2234,vedlikehold -et,"[the] maintenance, upkeep, attendance"
2235,å innta,"to consume, partake of; capture"
2236,særdeles,"exceedingly; especially, extremely"
2237,angående,"about, as for, concerning"
2238,en seigmann,jelly baby 
2239,å havne,"to end up, land"
2240,en ytringsfrihet,freedom of speech 
2241,en musiker,musician 
2242,å røre,"to stir, move; feel"
2243,en overraskelse,"surprise, astonishment"
2244,ei måling,"measuring, measurement "
2245,fryktelig,"dreadful, horrible"
2246,tull -en,"[the] nonsense, rubbish"
2247,en fiende,"enemy, foe"
2248,ei løype,log slide; ski track; marked course
2249,en fantasi,"imagination, fantasy"
2250,en definisjon,definition
2251,konkurs,bankrupt
2252,en forbedring,"betterment, improvement"
2253,en kjøper,buyer
2254,et konsept,(rough) draft; (pl) senses
2255,bredde -n,"[the] breadth, width, latitude "
2256,ei skulder,shoulder 
2257,en styreleder,chairman of the board 
2258,en kjøretime,driving lesson 
2259,et smil,smile 
2260,cirka,"circa, about"
2261,å slenge,"to throw, toss, sling"
2262,en indianer,(American) Indian
2263,å slappe,"to relax, unbrace, unstring, slack"
2264,underholdning -en,"[the] entertainment, diversion, amusement "
2265,et team,team 
2266,en grønnsak,vegetable 
2267,å renne,"to run, pour, flow, overrun"
2268,en sofa,sofa 
2269,en skygge,shade
2270,muntlig,"verbal, oral"
2271,en samboer,cohabitant 
2272,en hovedstad,capital (city)
2273,adgang -en,"[the] access, approach; opportunity"
2274,å kvalifisere,to qualify
2275,enighet -a,"[the] agreement, unanimity"
2276,gradvis,"by degrees, gradually"
2277,en klem,"crush, pinch, emphasis"
2278,en elektriker,electrician
2279,ei godkjenning,"approval, sanction"
2280,åndelig,"spiritual, meditation, movement, mental"
2281,et brød,"bread, loaf of bread, living, employment"
2282,et mønster,"model, picture, design, pattern "
2283,Brasil,Brazil
2284,en premie,prize 
2285,å utstyre,"to furnish, equip, fit out, provide"
2286,et landslag,national team; nation-wide organization
2287,en planet,planet 
2288,en utgang,"exit, way out, close, end"
2289,barnevennlig,"child-friendly, beneficial to large families "
2291,ei regning,"bill, account; calculation"
2292,ei fordeling,"distribution, dispersion"
2293,et preg,"character, feature "
2294,markert,"marked, pronounced "
2295,kriminell,criminal
2296,verdifull,valuable
2297,å skjære,"to cut, chip, slice, carve "
2298,dritt -en,"[the] excrement, filth [vulg.]"
2299,å gjemme,"to keep, preserve"
2300,ei ettertid,future; posterity
2301,brutal,brutal
2302,en investor,investor 
2303,ei skrift,"writing, publication, alphabet, font"
2304,beskyttelse -n,"[the] protection, shelter"
2305,en tomannsbolig,duplex 
2306,sint,"angry, mad "
2307,et talent,talent
2308,å komplisere,to complicate
2309,å tilbringe,"to pass, spend (time)"
2310,å koke,to boil; cook
2311,et minimum,minimum 
2312,borgerlig,"bourgeois, civil, middle-class"
2313,ei begrensning,"limit, limitation; restriction"
2314,elendig,"miserable, unhappy, wretched"
2315,å tilføre,"to carry to, supply"
2316,uklar,"confused, not clear"
2317,en annonse,"ad, advertisement"
2318,intens,intense
2319,likestilling -a,[the] equality
2320,å putte,to put 
2321,å forårsake,"to bring about, cause"
2322,en generalsekretær,secretary general
2323,grå,"gray, grizzled"
2324,israelsk,Israeli
2325,komplett,complete
2326,en ytelse,"output, performance, capacity"
2327,en markedsføring,marketing 
2328,ei mus,mouse
2329,matematikk -en,[the] mathematics
2330,klinisk,clinical
2331,et yrke,"occupation, trade, craft"
2332,ei bivirkning,"side effect, repercussion"
2333,usaklig,irrelevant; arbitrary and capricious 
2334,massiv,massive; solid
2335,et vedlegg,"attachment, enclosure"
2336,et semester,semester 
2337,ei lærerinne,(woman) teacher
2338,dekning -a,"[the] cover, covering; [merc.] payment (of bills)"
2339,et rykk,"tug, jerk, yank "
2340,en variasjon,variation 
2341,trang,narrow 
2342,spesifikk,specific 
2343,en ferdighet,"accomplishement, dexterity, skill"
2344,en visjon,vision 
2345,å mistenke,to suspect (of)
2346,et landsmøte,national congress 
2347,mental,mental 
2348,derfra,"from there, from that point; thence; as a result"
2349,ei trapp,stairs
2350,å logge,to heave the log
2351,en respons,response 
2352,å skrike,"to scream, shriek "
2353,et underskudd,"deficit, shortage, deficiency"
2354,å lukte,to emit an odor; smell
2355,kristendom -men,[the] Christianity
2356,en bildekvalitet,image quality 
2357,å plage,"to bother, pester, torment, worry "
2358,å respektere,respect 
2359,permanent,permanent
2360,ei flate,"expanse, surface; level, plain"
2361,å blogge,to wound
2362,å orientere,"to inform, instruct "
2363,en drabantby,satellite city
2364,ei sammenligning,comparison 
2365,miljøvennlig,environmentally sound/friendly 
2366,å oppdatere,"to update, revise "
2367,en benk,"bench (for sitting on, working at); pew, row"
2368,å stimulere,to stimulate
2369,et arkiv,"archive(s), file"
2370,en basis,"base, basis "
2371,en bod,"shack; shop, stall"
2372,angst -en,"[the] anxiety, dread, fear"
2373,å forhandle,"to discuss, negotiate, distribute"
2374,en utgivelse,"publishing, publication "
2375,en premiere,"opening night, premiere "
2376,apropos,"apropos, at the right moment; [interj.] by the way, speaking of"
2377,en vits,"point, use; joke, witticism"
2378,musikalsk,musical 
2379,ei mil,mile 
2380,en vikar,"temp; substitute, deputy"
2382,en forstand,"intellect, mind"
2383,et vaskerom,washroom
2384,et terreng,"country, terrain, ground "
2385,et innslag,"element, strain"
