Norwegian,English
vold -en,"[the] violence, force "
en opplæring,"training, bringing up, education "
ei ferd,"expedition, journey"
en fylkeskommune,county authority
et nettverk,network 
en ferie,"holidays, vacation"
gul,"yellow, sallow"
kjær,"beloved, dear; precious"
ei leilighet,appartment
en avstand,distance
å påpeke,"to indicate, call attention to, point out "
et spor,"track, groove, slot, notch"
en reaksjon,"reaction, response "
en østkant,east side
et klikk,click; clique
ei plate,"sheet, plate, board "
solid,"solid, strong, robust, sturdy"
ei hytte,"cabin, cottege, summer home"
å angripe,"to assault, attack; affect (e.g. by disease)"
ei utgave,"edition, issue, version, release "
frihet -a,[the] freedom
å forandre,"to change, alter, modify"
å savne,"to lack, be without, want "
en suksess,success
etterpå,"after, afterwards"
en motor,"engine, motor"
å anse,"to consider, deem, regard "
rolig,"quiet, calm"
altfor,"too, much too"
å tyde,"to interpret, decipher "
å oppfordre,"to ask, call on"
en kontrakt,contract
et unntak,exception 
en detalj,detail
en enhet,"unit, unity"
å dø,to die
å kontrollere,"to  check, inspect; control"
en posisjon,position 
igjennom,through
ei sol,sun
hår -et,[the] hair
et budsjett,budget
streng,"strict, stern "
et øyeblikk,"moment, blink of the eye "
å hoppe,"to hop, jump"
å more,"to amuse, entertain "
et slag,"blow, hit, stroke"
å laste,"to blame, censure"
et anlegg,"construction, founding, start"
dog,"[archaic] nevertheless, still, yet"
å overta,"to take over, undertake "
å løpe,"to run; glide, slide"
et ansikt,face
vanligvis,"generally, usually"
et bidrag,contribution
en mamma,mamma
respekt -en,"[the] respect, esteem "
åtte,eight
en bolig,"abode, dwelling"
hundre,hundred
nærhet -a,"[the] nearness, vicinity"
å oppfatte,"to comprehend, apprehend, perceive "
å tilhøre,"to belong to, be a member of "
å akseptere,to accept; honor (bill of exchange)
psykisk,"mental, psychic "
en beskjed,"information, instructions, message, answer"
en advokat,lawyer; advocate (of a cause)
å bry,"to bother, trouble"
ei innstilling,"adjustment, focus, tuning; attitude"
diverse,"divers, various"
en skog,forest 
et trykk,"press, pressure, thrust"
en dom,cathedral; judgement
å ri,"to ride, sit astride"
grunnleggende,"basic, fundamental"
engang,"once, at one time; some day"
gøy,fun
en sjef,"leader, head, chief "
å forsvare,to defend; justify
indre,"inner, interior"
frivillig,"of one's free will, voluntary"
en forutsetning,"assumption, supposition, condition"
ei datter,daughter
å presse,"to press, force, squeeze"
nyttig,"useful, of use, helpful"
en brann,"burning; fire, glow, heat"
tøff,tough 
å lykkes,to succeed
et angrep,"attack, charge; assault"
å fokusere,to focus one's attention on
avgjørende,"conclusive, decisive, final"
ei utstilling,"display, exhibit, show"
en veranda,veranda
en finger,finger
individuell,individual
et utland,"foreign country, abroad "
å lagre,"to store; mature, season"
en samtale,conversation
å beskytte,"to protect, shelter, be patron of, patronize"
å erstatte,to compensate
automatisk,automatic
umiddelbar,"immediate, direct, spontaneous"
et kvartal,quarter (of a year); (city) block
en mage,"bowels, stomach; abdomen"
seriøs,serious 
en vilje,"will, wish; willpower; willingness"
et fylke,county
ei greie,"affair, business, matter"
fransk,French
ei bikkje,"dog, mutt"
en uttalelse,"pronouncement, declaration; opinion"
et dokument,"document, deed, instrument"
å skremme,"to frighten, scare"
jevn,"even; level, plane; ordinary"
liksom,"somehow, sort of"
en smak,taste 
en produsent,producer 
å smile,to smile 
en fest,"banquet, celebration"
en konferanse,conference
en eier,owner
et utslipp,"spill, effluent, discharge, emission"
et oppdrag,"task, duty, commission "
sannsynligvis,probably 
dobbel,"double, twofold "
å foreligge,to be at hand
en tradisjon,tradition 
forsiktig,"careful, cautious, prudent"
relevant,"relevant, meaningful "
utenlandsk,foreign 
forresten,"anyway, besides"
å skifte,"to switch, change "
ukjent,"unknown, unacquainted "
å befinne,[obs.] to find
en fot,foot
ei forskrift,"precept, rule, regulation, copy"
å sitere,"to quote, cite, quote passages "
statlig,"governmental, public "
å bringe,"to bring, fetch, take, bring about, cause"
en mangel,"lack, shortage; defect"
å bekymre,"to trouble, worry"
gym -men,"[the] gym, P.E., sixth form college, high school"
å undersøke,"to examine, investigate"
en soldat,soldier 
å oppgi,"to state, give "
å utnytte,"to exploit, utilize "
et design,design 
motsatt,"opposite, contrary, reverse"
en drøm,dream
en munn,mouth 
religiøs,devotional; religious 
et felt,"field, area"
en artist,"performer (in circus, variety); [lit.] artist (=kunstner)"
å anta,"to assume, presume; accept, approve; adopt, embrace"
blå,blue
ei forklaring,explanation
å nærme,"to bring near, draw near "
ei forside,"front, face, front page"
en sønn,son 
en dommer,judge; referee
typisk,typical
å prioritere,to prioritize 
å bevege,"to move (stir, affect); persuade"
en arbeidsplass,workplace 
en sektor,sector 
å leke,to play
en eksamen,examination
en analyse,analysis
å utarbeide,"to prepare, work out, draw up, make up"
offisiell,official 
nydelig,attractive 
å skjule,"to hide, conceal, obscure "
et håp,hope
å definere,to define
en legg,"calf, lower leg; (stocking, trouser) leg"
ei oppfatning,"comprehension, apprehension, interpretation"
ei bygning,"building, house; structure"
et hav,sea; ocean; handle
å brenne,"to burn, set fire to"
ei synd,sin 
en pause,"break, pause, respite "
en beskrivelse,description
å koble,to tie up; link
en bestemmelse,"decision, resolution, destiny"
sunn,healthy 
et vindu,window 
dit,"(to) there, thither"
en bror,brother
en hendelse,"event, happening"
en medisin,medicine
forbi,"past, beyond, by"
en runde,"round, beat, turn, lap "
en stil,style 
merkelig,"remarkable, notable "
en bunn,"bottom (glass, lake, ship, etc.); (back)ground"
kommunal,"civic, local, municipal, town"
ytre,"outward, exterior, external "
en kategori,category
å avsløre,"to unveil; disclose, finish"
rund,"round, circular, globular "
en halvpart,half
å felle,"to moult, shed, cut down, fell"
å tåle,"to tolerate, bear"
et kart,"map; chart; agenda; list; gnarl, knot"
snill,"nice, good-natured"
å lange,"to reach; hand, pass"
mobil,"active, mobile "
ære -a,[the] era
innsendt,contribution
å blande,"to mix, shuffle"
ekte,"legitimate, genuine"
stolt,proud 
en høgskole,technical school of university rank
nødvendigvis,necessarily 
å rente seg,to yield interest
et departement,department
nordisk,"northern, Nordic "
et kjønn,sex; [gram.] gender
å forutsette,"to assume, presuppose"
en dato,date
en innbygger,"inhabitant, citizen "
en tilstand,"state, condition, situation"
en skuespiller,actor 
ei seng,bed 
å tulle,"to roll, bundle, tumble; fool around"
søt,sweet; nice
ei veiledning,"advice, guidance"
en arm,"arm (of person, ape, chair, etc.); [pop.] sleeve"
å nyte,"to enjoy, have "
å servere,to serve
trist,"gloomy, dismal, sad"
en sleng,"swing, toss "
et signal,signal 
en rein,boundary strip 
kjedelig,"boring, dull"
en last,burden; blame
en mikrofon,microphone 
ei stjerne,star 
en sannhet,truth
en statsminister,prime minister
en smerte,"pain; affliction, grief "
ei kule,hall; globe; bullet
et fengsel,"jail, penitentiary, prison"
en ettermiddag,late afternoon and early evening
nøye,"close, strict, careful"
en overgang,"transition, crossing, passage"
å forholde,[obs.] (improperly) withhold
et blad,leaf; blade; page; sheet
et kapittel,chapter; subject
et element,element
et rykte,"rumour, reputation, report"
ei forventning,expectation
en skolegård,"playground, schoolyard "
elektronisk,electronic
en sjø,"sea, ocean; lake "
alkohol -en,[the] alcohol
data -en/-et,[the] data
en egenskap,"characteristic, property"
fremfor,"before, above, beyond "
villig,"willing, ready"
en kar,man
litteratur -en,[the] literature
en påstand,"statement, claim, assertion"
et perspektiv,perspective 
å le,to laugh
blod -et,[the] blood
ei problemstilling,problem to be addressed
heldig,fortunate; advantageous
såpass,"enough, this much"
ei samling,"gathering, collection "
tydeligvis,"evidently, obviously "
et verk,"works, plant, mill"
kvinnelig,feminine
å feire,to celebrate; pay homage
ei elv,"river, stream"
tilstrekkelig,"sufficient, enough"
muligens,possibly 
en lek,"[dial.] link; play, contest, game"
vin -en,[the] wine; vine
intern,internal
ei kjerring,old woman (esp. married)
å score,"to score, shoot "
Italia,Italy
vennlig,"kind, friendly "
en faktor,"factor, element"
en kandidat,candidate; graduate
å fremstå,"to stand out, appear as "
en besteforelder,grandparent 
et arrangement,arrangement
en kjæreste,"beloved, friend, lover, sweetheart"
ni,nine 
et blikk,"glance, look; eye, understanding"
islam -en,[the] Islam
å overføre,"to transfer, convey "
å lukke,to weed
hud -en,[the] skin
bevisst,"conscious, deliberate"
en do,"outhouse, privy; toilet"
å samarbeide,to cooperate
ei moro,amusement 
kommunikasjon -en,[the] communication
slåball -en,[the] a kind of softball 
vitenskapelig,"scientific, scholarly "
en kombinasjon,combination
en trussel,threat 
å forberede,"to get ready, prepare"
en stein,stone
gull -et,"[the] gold, money, wealth"
kaffe -n,[the] coffee
å slette,"to delete, clear"
nedover,"down (declining, sinking, falling)"
en dialog,dialogue
en middag,"dinner, noon, midday"
levende,alive
å rase,"to fume, rage"
å plukke,"to pick, gather; pluck"
fremtidig,future
en arbeidsgiver,employer
en hensikt,intention
herlig,"glorious, grand"
å dokumentere,"to document, prove, substantiate"
ei plassering,placing 
ei krise,crisis
et kvadrat,square
å involvere,to involve
gravid,pregnant
en status,status 
en hybel,rented room or small aparment
å opplyse,to illuminate; light up
å huse,to give shelter to
korrekt,correct
en spiss,"tip, point, head, apex "
en himmel,sky; [theol.] heaven
å rive,"to tear, rip; grate"
et øre,"ear, hearing "
å hate,to hate
et forbund,"alliance, pact, federation"
ei plante,plant; seedling
en høyde,height
å opprettholde,"to uphold, maintain, keep up "
et lokale,"(public) hall, room; office"
ei stemning,"atmosphere, feeling, mood "
å funke,to spark
å undertegne,"to sign, endorse"
ulovlig,"illegal, illicit, unlawful "
å oppføre,to build; perform
orden -en,[the] order
snø -en,[the] snow
en valp,"pup, whelp "
vill,wild
å straffe,to punish
å fange,"to capture, take prisoner; catch, trap"
anonym,anonymous
dramatisk,"dramatic; spectacular, thrilling"
å egne,"to be fit, suited"
å pleie,"to look after, nurse, take care of "
delvis,"in part, party"
en kunstner,artist
reell,real
ovenfor,"above, higher up (than"
en innvandrer,immigrant
hallo,hello (esp. as telephone greeting)
en nabo,neighbour 
et hull,"hole; notch, gap"
en boks,(metal) box; (telephone) booth; (tin) can; locker
å løfte,"to life, raise"
å tegne,"to draw, sketch "
forhånd -a,"[the] first hand, forehand"
en ekspert,expert
et døgn,"twenty-four hours, day and night"
en vind,wind
en festival,festival 
å ivareta,"to attend to, look after"
å tildele,to allocate 
et skudd,"shot, bullet"
stas -en,"[the] fun, enjoyment, pleasure "
å gifte,to marry
å påstå,"to allege, assert; maintain"
ekstern,external
et skritt,"step, pace; crotch"
å vende,to turn
å møtes,to meet 
et klima,climate
en andel,share
et alvor,"seriousness, gravity; sincerity"
å låne,"to borrow; lend, loan"
tynn,"thin, slim, lean "
kulturell,cultural
et glass,"glass (substance, container)"
oppover,"up, upwards "
å smake,to taste 
ei investering,investment [merc.]
en sko,shoe 
en motstander,"opponent, adversary "
å garantere,"to guarantee, warrant"
en industri,industry
et engasjement,"contract, engagement"
å bevise,"to prove, demonstrate, show"
en favoritt,favorite
en redaktør,editor 
voldsom,"violent, vehement"
en kant,"edge; border, rim; corner"
å overleve,"to survive, outlive"
å gratulere,to congratulate
en keeper,"goalkeeper, goalie"
å kombinere,to combine; relate (facts)
vedkommende,the person concerned 
å preke,to preach 
ei satsing,"efforts, campaign, initiative, staking, aiming"
en roman,novel 
hit,"here, hither"
å tørre,to dare 
et egg,edge
ro -a,"[the] quiet, tranquillity, silence "
en generasjon,generation
fjerde,fourth
sannsynlig,"likely, probable "
klassisk,"classic, classical"
en innflytter,new occupant; immigrant
en jøde,Jew
medisinsk,"medical, medicinal"
et demokrati,democracy
å helle,to lean; pour
en gjeng,"gang, work crew"
en regi,"stage management, direction "
fet,"fat, greasy"
profesjonell,professional 
et foredrag,"address, lecture, delivery"
en motstand,"resistance, opposition"
å forbedre,to improve
seksuell,"sexual, sex "
derifra,"from there, from that point; thence; as a result"
å utvide,"to extend, expand, enlarge"
ifra,"from, away, aside"
frykt -en,"[the] apprehension, fear"
en bonde,"farmer, peasant, feeholder; [archaic] husband, master"
en ring,ring 
sur,sour
å beregne,"to calculate, figure; expect"
en temperatur,temperature 
en fart,"motion, speed"
en bransje,"business, industry, trade"
skriftlig,"in writing, written "
et oppgjør,"showdown, confrontation, settlement, statement "
å våkne,to wake
et batteri,battery
et arbeidsliv,life of hard work; economic life (of community or nation)
å male,to paint; grind; purr
en helt,hero
hittil,"so far, up to now"
en tendens,tendency
et søk,"search, seek "
å binde,"to tie, tie up, chain; bind"
jaså,well; is that so
te -en,[the] tea 
riktignok,"certainly, to be sure, indeed "
ei virkning,"effect, influence"
tørr,dry 
nøyaktig,"exact, accurate, precise "
regional,regional 
å passere,"to pass by, pass through, turn; pass"
å gripe,"to catch, grab, grasp, affect, move"
grundig,"exhaustive, thorough"
å klikke,"to click, tap, tick"
pluss,plus 
et symptom,symptom
ei gave,"gift, present"
tillit -a,"[the] confidence, trust"
å ake,to ride; slide
programvare -a,[the] software 
å ordne,to regulate 
en hage,"garden, orchard"
å avvise,"to refuse, turn away"
dokumentasjon -en,"[the] documentation, substantiation"
en figur,figure
ei tilbakemelding,"feedback, response "
et initiativ,"enterprise, initiative"
å heve,"to lift, raise"
å uttrykke,to express
ei motsetning,"contrast, difference, antagonism "
et bygg,"barley; building project, building under construction"
en finale,"finale, finals (in sports)"
et skip,"ship, boat, vessel "
nedre,lower 
å ane,"to suspect, have an (uneasy) feeling"
å åpenbare,"to disclose, divulge; manifest, reveal"
å synke,to sink 
utenom,"outside, on the outside"
en teknikk,"technique, technical skill"
et offer,"victim; offering, sacrifice "
demokratisk,democratic
en kino,movie (theater)
ei forhandling,"discuttion, negotiation, distribution"
synlig,"visible, visual "
ei anbefaling,"recommendation, reference"
muslimsk,Islamitic 
oppløsning -a,"[the] liquidation, dissolution "
et bryst,chest; (woman's) breast
å gjenta,"to reiterate, repeat"
fornuftig,"rational, reasonable, sensible"
en reklame,advertising 
et seminar,seminar 
en børs,stock exchange
å kritisere,to criticize
en aksjon,action
en episode,"episode, incident"
en meny,menu
en likhet,"likeness, resemblance"
å beklage,"to pity, (be) sorry (for); regret"
artig,"amusing, funny; interesting"
et riksmål,official national language; standard Norwegian
å kle,"to clothe, dress"
samtlige,"all, one and all, each and all "
å danse,"to dance, prance"
en sykkel,"cycle, bicycle"
å avansere,to advance
ei spenning,"excitement; stress, tension "
å hive,"to heave, throw, toss"
en låt,sound; ring; whimpering
å forbeholde,"to reserve, stipulate"
å svekke,to weaken
å bla,"to turn pages, thumb through"
en åpning,opening
å formidle,"to arrange, mediate"
å rydde,"to tidy, tidy up, clear up"
nytte -a,"[the] use, usefulness, benefit, advantage "
et våpen,weapon
å vekke,to wake
å opptre,"to perform, appear"
å tolke,"to interpret, express "
en avgjørelse,"decision, settlement"
et hjørne,corner
en bit,piece
stygg,"bad, nasty, ugly"
fersk,"fresh, new, recent"
et gulv,floor
ei forening,"combination, union, association"
et tog,train
ei sone,zone 
rå,raw
søren,dammit 
et forlag,"(firm of) publishers, publishing house"
en region,region 
et drap,"homicide, manslaughter, murder"
ei plikt,duty 
uenig,in disagreement
å stole,"to depend, rely, trust "
å drømme,to dream
real,"trustworthy, reliable, honest"
gift,married
en forbruker,consumer
obligatorisk,"compulsory, obligatory "
å telle,to count 
en fyr,fire
en pappa,"daddy, dad "
en handel,"business, commerce, trade"
en mobiltelefon,mobile (phone
en kollega,colleague
ei utgift,expense; disbursement 
ei beslutning,"decision, resolution"
et firma,firm
en selger,"salesperson, seller, vendor"
ei dagbok,diary
venstre,left 
diabetes -en,[the] diabetes 
trafikk -en,[the] traffic
en balkong,balcony
å blåse,"to blow; puff, snort"
å bake,to bake
å sikte,"to aim, take aim; accuse"
kjøtt -et,[the] meat
et kjøkken,"kitchen, cuisine"
nedenfor,below 
en hovedsak,chief concern
økologisk,ecological 
å skru,to screw 
en billett,"note, small letter; ticket"
en traktor,tractor 
en kilo,"kilogram (= 2,2 lbs)"
å venne,"to wean, accustome"
ei pakke,"package, pack"
uheldig,"unfortunate, unlucky"
antagelig,"acceptable, satisfactory"
å banke,"to knock, beat; rap, tap"
ordentlig,"proper, orderly "
homofil,homosexual
et verktøy,"tool, implement, equipment "
en øvelse,"practice, exercise, training, experience "
et regelverk,regulations 
grov,"coarse, gruff, rough"
å bite,"to bite; cut, have an effect"
ei retningslinje,"guideline, instruction "
et virkemiddel,"means, instrument"
dels,partly
å prate,"to chat, talk "
et trekk,"feature, trait, draft, track"
ei høne,"hen, chicken"
ledig,"free, idle; lithe (of movements)"
en karriere,run; career
ei adresse,address
et fellesskap,"joint activity, efforts"
en fritidsaktivitet,"leisure activity, pastime "
et papir,paper 
et budskap,message
en helhet,entirety
opptil,"to, up to, near to "
stabil,stable 
en restaurant,restaurant 
en statistikk,statistics 
selvstendig,independent
å gidde,"to bother to, take the troube to"
ordinær,ordinary 
å stråle,to be radiant
å forby,"to ban, forbid"
å stjele,to steal 
omgivelser,surroundings; environment
ei frukt,fruit
ei forestilling,"performance, protest, conception"
et bevis,"evidence, proof"
skoletid -a,[the] school hours; school years 
militær,military 
original,original 
å trives,"to thrive, flourish"
et innspill,"input, suggestion, contribution, initiative "
menneskelig,"human, humane"
å pendle,"to oscillate, commute"
en parkeringsplass,parking lot 
henhold,"accordance, conformity"
å berøre,"to touch, affect, involve"
å risikere,to risk 
en radio,"radio, wireless "
å kontakte,to contact
en deltakelse,"participation; concern, sympathy"
etisk,ethical
en rad,row; rad
ei fraflytting,rural depopulation 
en presentasjon,presentation 
ei innføring,introduction
underveis,on the way
en partner,"partner, co-partner "
å rope,"to call, shout"
å utfordre,"to challenge, defy, dare "
en etasje,"floor, story"
et tilskudd,"contribution, subsidy"
en kapasitet,capacity; expert
sikt -a,[the] sight
ei omsetning,"sales, trade, business, sale "
en kø,"line, queue"
en konkurrent,"competitor, rival"
å konkludere,to conclude
en moderator,moderator 
å inspirere,to inspire
noensinne,"ever, at any time "
ei finanskrise,financial crisis 
ei regle,"jingle, nonsense verse, rigmarole "
tilfeldig,random
midlertidig,"interim, provisional, temporary"
vestlig,western
ei strand,"beach, shore"
et bud,"command, order, message, tidings"
å knuse,"to crush, break, smash"
å forsterke,"to reinforce, strengthen, heighten"
et grep,"grab, move, step"
å fastsette,"to decide on, fix, stipulate"
et legemiddel,medicament
en administrasjon,administration
å tilfredsstille,"to satisfy, content"
forbruk -et,[the] consumption
ærlig,"honest; frank, sincere; honorable"
en studie,study 
et opplegg,situation
en gud,"god, God"
et ekteskap,marriage
sliten,"tired, weary"
et potensial,potential 
en hobby,hobby
ei næring,"industry, trade "
en trend,trend
vellykket,successful 
et vilkår,"condition, term, circumstances"
en guttunge,"boy; [pop.] kid, lad"
et omfang,scope; size; circumference 
kreativ,creative 
et format,size; format
et beløp,amount of money
en oljepris,oil price 
å kåre,"to blow softly, ripple"
ei fortelling,"narrative, story, tale, novel"
en bensinstasjon,gas station
ei ulykke,accident; misfortune
læring -a,"[the] learning, gaining knowledge "
en arbeidstaker,"employee, worker"
myk,"sensitive, soft-hearted, pliable, flexible"
smart,smart
et barnevern,child welfare
koselig,"comfortable, cozy"
en stall,stable
ei forandring,"change, alteration, modification"
et mangfold,"diversity, variety, abundance "
en tone,"note, sound, tone, pitch"
en liter,liter (=1.057 qts.)
en strid,"conflict, discord, strife"
å regulere,to regulate
ei fil,file
en snøball,snowball 
et fenomen,phenomenon
en skolebuss,school bus 
hvorvidt,"how far, to what extent; whether"
langsiktig,long-term; long-range
å godta,"to accept, approve, acknowledge"
å ligne,"to  look like, resemble; compare"
hemmelig,"secret, clandestine"
å innse,"to realize, see"
en kampanje,campaign
et pass,passport; attention; (mountain) pass
unik,unique 
ei scene,scene 
et overskudd,"profit, margin, surplus"
nåværende,"present, prevailing, existing, current "
russisk,Russian 
å advare,to warn
et lån,loan
en datamaskin,computer 
omsorg -a,[the] care 
et medium,"[math.] mean, (spiritualistic) medium"
et regnskap,accounts 
et opphold,stay 
kjekk,"bold, brave"
skeptisk,sceptical
et motiv,motive 
skarp,sharp
ei avgift,"fee; duty, tax; royalty"
en vest,waistcoat; West
å informere,"to advise, inform"
et trinn,"step, stage"
et årsmøte,annual meeting
ei frøken,"unmarried woman, young lady"
å betrakte,"to contemplate, look at, regard"
ei fotballbane,soccer field
et synspunkt,viewpoint
ille,badly; ill
et individ,"indivual, person"
en dose,"dosage, dose"
en leverandør,[merc.] supplier
ei planlegging,"planning, organizing "
pedagogisk,educational 
en frist,deadline
blank,"bright, clear, gloyy, shining, plain"
mektig,powerful
å lide,"to advance, pass; suffer"
en voks,wax 
ei stue,living room; cottage 
ei øy,island 
en vinterferie,winter vacation
en nedgang,"decline, fall-off, drop, reduction"
et overhode,head; chief 
å investere,to invest [merc.]
et tempo,"tempo, time, speed, rate"
å gråte,"to cry, weep"
å strekke,to stretch
å utgi,"to publish, issue, edit"
en speider,scout 
et statsbudsjett,national budget 
en bot,"fine; damages; amends, remedy; penance"
juridisk,"juridical, legal"
en vert,"host, landlord"
ei oppfølging,follow-up 
et fat,"dish, barrel, cask"
faen,"the devil, Satan"
en straff,punishment 
å foretrekke,to prefer
å signere,to sign 
blodsukker -et,"[the] glucose, blood sugar "
vegne,behalf; alle ~ = everywhere 
sakte,slow 
transport -en,[the] transport
en divisjon,[math./mil.] division
en mynt,coin 
et overgrep,"encroachment, infringement "
et tidsskrift,periodical 
ei lue,cap
ond,"bad, evil "
å gli,"to glide, slide"
storting -et,[the] (Norway's) parliament
et forbud,"ban, embargo, prohibition"
en valgkamp,electoral campaign 
en eks,"(slang) ex, ex-spouse, ex-boyfriend, ex-girlfriend "
ei vaksine,vaccine
evig,"eternal, everlasting"
ei oppskrift,"recipe, pattern "
bestemt,"certain, definite, fixed"
et vitne,witness 
en kilometer,"kilometer (= 0,62 mile)"
en bakke,hill; ground
tilknytning -en,"[the] attachment, affiliation, connection "
hovedsakelig,"chiefly, mainly"
spent,"anxious, tense"
stress -en,"[the] stress, strain "
å håndtere,"to handle, manage"
en menighet,"Church, congregation "
en variant,variant 
en gass,gas
dødball -en,[the] (ballspill) dead ball 
en hjerne,brain
å stanse,"to stop, pause "
en regissør,"director, stage director, film director "
balanse -n,[the] scales; balance
en fotograf,photographer
dyktig,"able, capable, proficient, goodly, substantial"
henholdsvis,respectively
ei utbygging,"extension, addition, annexe"
unødvendig,"unnecessary, needless"
et ballspill,ball game 
en bakgård,"rear court, service area"
innsikt -en,[the] insight
nyfødt,new-born 
en tabell,"table (conversion, time, etc.)"
en medarbeider,co-worker; collaborator
å senke,"to sink, let down, lower "
et kosthold,"fare, meals"
å grunne,"to mull over, muse, ponder"
en støl,mountain dairy farm 
naturligvis,"of course, naturally "
å feste,"to attach, fasten"
et opptak,"admission, entrance, intake "
en rektor,headmaster
ei gjennomføring,"accomplishment, execution"
en realitet,reality 
en arbeider,"laborer, workman, worker"
ei tann,"tooth, prong, cog "
flat,"flat, level, crestfallen"
å tilsi,"to promise, summon"
en kopi,copy
en begrunnelse,"basis; grounds, justification"
en nasjon,nation 
å finansiere,to finance
innflytelse -n,[the] influence
ei pressemelding,press release
våt,wet
straks,"at once, immediately"
en menneskerettighet,human rights
en hær,"army; host, legion"
en dans,"dance, dancing"
en sans,sense
et måltid,meal 
kjempeflott,"excellent, very good "
en guide,guide; guidebook
et gram,gram (=0.035 oz.)
en innsats,stake; contribution
å kose,to make things cozy
herifra,from here; from this
ei blanding,"mixture, alloy"
å stryke,to stroke 
inni,"inside, within"
definitiv,definitive
å justere,"to adapt, adjust"
å lytte,to listen
ei søster,sister 
øst,East 
en prest,clergyman 
et museum,museum 
ei evaluering,evaluation
en brus,"roar, rushing sound; echo"
en lidelse,"agony, suffering"
tvers,across; [naut.] abeam
tvert,"crosswise, transversely, across "
en PC ,"PC, personal computer "
å konkurrere,to compete
uvanlig,unusual
en vinner,winner
en ordfører,"mayor, chairman "
således,"thus, so, in this manner"
null,"zero, nought "
en lengde,length
å orke,to be able to 
info -en,"[the] info, information "
et landbruk,agriculture
elektrisk,electrical
attraktiv,[pop.] attractive 
kjapp,"fast, quick"
en blogger,"blogger, blog author "
en tentamen,mock exam
å integrere,to integrate
å takle,"to cope, tackle"
en hals,"throat, neck"
oppmerksom,"attentive, observant, considerate"
å markere,"to indicate, mark"
å vaske,to wash
et kriterium,criterion
å tvile,"to doubt, question "
en kode,code; codex
en tillatelse,"permission, permit"
å kvitte,to whiten
en operasjon,operation 
ei flaske,"bottle, flask"
nokså,"fairly, rather, tolerably "
å oppfylle,to fulfil
å sparke,to kick 
fremmed,"aliean, foreign"
en flyplass,"airfield, airport"
en amerikaner,American (esp. From U.S.A.)
nordover,northward
en arena,arena
å leie,"to guide, lead"
brun,"brown, [pop.] drunk"
et fakultet,"college, faculty"
et brudd,"break, fracture, violation, crime"
ei ledning,"cable, conduit"
saklig,"factual, objective"
å kødde,"to fuck (with), mess (with"
en kapital,capital [merc.]
et tonn,(metric) ton
sivil,civil 
forferdelig,"dreadful, horrible"
en stamme,"stem, trunk"
lykkelig,lucky; happy
å late,to idle
bygging -a,[the] building activity
et senter,centre 
å operere,to operate
å irritere,"to annoy, irritate"
å sykle,"to cycle, ride a bike "
ei fortid,past
en identitet,identity
potensiell,potential 
objektiv,"objective, lens "
en barnefamilie,family with small children
et dikt,"poem; poetry; invention, lie"
et utbytte,"profit, proceeds, dividend, yield"
melk -a,[the] milk 
en ås,"hill, ridge; beam, roof beam"
falsk,false
et århundre,century
å konsentrere,to concentrate
fattigdom -men,[the] poverty
et stopp,stop
en kanal,"canal, channel"
en muskel,muscle 
ei venninne,[female] friend
tilsynelatende,"seeming, apparent, apparently"
å resultere,to result 
biologisk,biological
en treer,three 
spansk,Spanish 
moralsk,moral 
sistnevnt,latter 
å installere,to install
en stav,"staff, stick, pole"
et galleri,gallery
skrekkelig,"horrible, shocking, ghastly "
en usikkerhet,"insecurity, uncertainty"
å observere,observe 
et organ,organ
forholdsvis,"proportionately, relatively"
et bånd,"band, ribbon, stripe, leash"
drøy,"economical, lasting; demanding, tough"
å behøve,to need
en rådgiver,adviser
ei gjeld,debt
sukker -et,[the] sugar 
støy -en,"[the] (teleteknikk) noise, interference "
finansiering -a,"[the] funding, financing "
å øse,"to baste, bail, scoop, draw "
en fase,phase
å forme,"to form, shape"
salt,salty
en sjel,soul
en revisor,"accountant, auditor"
å svikte,"to fail, be absent, forsake "
en laks,salmon
ei utforming,"shape, design "
mild,mild 
å gjennomgå,"to experience, go through, suffer"
formell,"formal, ostensible"
en rekord,record 
å smitte,"to infect, contaminate"
en gjennomgang,passage
ei forvaltning,"administration, management"
å kartlegge,"to chart, map"
gjennomsnittlig,"average, mean"
systematisk,systematic
etnisk,ethnic
en henvendelse,"application, communication"
et snitt,"cut, section, incision"
å forekomme,"to happen, occure, take place; be found"
strøm -men,"[the] stream, current "
å montere,"to install, assemble "
en baby,baby
en turist,tourist 
vant,"accustomed, used"
ei nese,nose 
en velger,"voter, elector"
samsvar -et,"[the] accordance, agreement "
et fjell,"mountain; bedrock, rock"
en frokost,breakfast
utsikt -en,"[the] outlook, view, vision "
ei erstatning,compensation
vinterstid,wintertime
å fullføre,"to carry out, execute"
humor -en,[the] humor
et rot,"root, source, origin "
et bur,"storehouse, storeroom, <farm building with sleeping rooms>"
hellig,"hallowed, holy"
å klippe,"to cut, clip"
en blomst,"blossom, flower"
realistisk,realistic 
glimrende,brilliant
lovlig,"lawful, legal, legitimate; valid"
et avsnitt,"period; paragraph, section"
ei styring,steering 
sprek,"fit; active, vigorous "
kommersiell,commercial
å bevare,"to keep, preserve, save"
offensiv,offensive 
en søker,"applicant, petitioner"
en bevissthet,consciousness
rasisme -n,"[the] racism, racialism "
å fatte,"to grasp, seize; catch fire"
en titt,"glimpse, peek(ing)"
ei etablering,establishment 
naken,naked
idet,"as, just as, when"
å rulle,to roll 
en fan,devil
